Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
3800 ; 1000 ; 639 ; 303 ; 5490 ; 24000
2800 ; 1000 ; 596 ; 268 ; 4955 ; 24000
2800 ; 1000 ; 590 ; 303 ; 4875 ; 24000
2800 ; 1000 ; 619 ; 304 ; 5090 ; 24000
2800 ; 1000 ; 626 ; 275 ; 5087 ; 24000
2800 ; 1000 ; 611 ; 293 ; 5004 ; 24000
2800 ; 1000 ; 617 ; 305 ; 5129 ; 24000
2800 ; 1000 ; 601 ; 307 ; 4979 ; 24000
2800 ; 1000 ; 624 ; 305 ; 5127 ; 24000
2800 ; 1000 ; 593 ; 275 ; 4921 ; 24000
2800 ; 1000 ; 617 ; 298 ; 5065 ; 24000
2800 ; 1000 ; 571 ; 319 ; 4977 ; 24000
2800 ; 1000 ; 612 ; 288 ; 5146 ; 24000
4600 ; 1000 ; 636 ; 300 ; 5372 ; 24000
2800 ; 1000 ; 636 ; 324 ; 5178 ; 24000
4600 ; 1000 ; 640 ; 307 ; 5520 ; 24000
2800 ; 1000 ; 620 ; 291 ; 5200 ; 24000
4600 ; 1000 ; 642 ; 304 ; 5428 ; 24000
2800 ; 1000 ; 627 ; 313 ; 5102 ; 24000
4600 ; 1000 ; 613 ; 312 ; 5471 ; 24000
2800 ; 1000 ; 616 ; 308 ; 5099 ; 24000
4600 ; 1000 ; 629 ; 288 ; 5391 ; 24000
4600 ; 1000 ; 666 ; 293 ; 5766 ; 24000
4600 ; 1000 ; 655 ; 293 ; 5491 ; 24000
4600 ; 1000 ; 687 ; 331 ; 5805 ; 24000
4600 ; 1000 ; 659 ; 283 ; 5416 ; 24000
4600 ; 1000 ; 668 ; 276 ; 5844 ; 24000
4600 ; 1000 ; 634 ; 297 ; 5393 ; 24000
4600 ; 1000 ; 660 ; 296 ; 5611 ; 24000
4600 ; 1000 ; 663 ; 310 ; 5491 ; 24000
4600 ; 1000 ; 653 ; 307 ; 5726 ; 24000
4600 ; 1000 ; 656 ; 278 ; 5496 ; 24000
4600 ; 1000 ; 651 ; 283 ; 5648 ; 24000
3400 ; 1000 ; 650 ; 298 ; 5329 ; 24000
4600 ; 1000 ; 675 ; 299 ; 5798 ; 24000
3400 ; 1000 ; 621 ; 312 ; 5339 ; 24000
4600 ; 1000 ; 632 ; 282 ; 5651 ; 24000
3400 ; 1000 ; 623 ; 284 ; 5274 ; 24000
4600 ; 1000 ; 631 ; 288 ; 5628 ; 24000
3400 ; 1000 ; 629 ; 324 ; 5233 ; 24000
4600 ; 1000 ; 661 ; 287 ; 5692 ; 24000
3400 ; 1000 ; 597 ; 310 ; 5185 ; 24000
3400 ; 1000 ; 640 ; 304 ; 5193 ; 24000
3400 ; 1000 ; 624 ; 296 ; 5418 ; 24000
3400 ; 1000 ; 643 ; 330 ; 5412 ; 24000
3400 ; 1000 ; 631 ; 326 ; 5346 ; 24000
3400 ; 1000 ; 627 ; 313 ; 5287 ; 24000
3400 ; 1000 ; 614 ; 307 ; 5128 ; 24000
3400 ; 1000 ; 628 ; 289 ; 5319 ; 24000
3400 ; 1000 ; 606 ; 291 ; 5241 ; 24000
3400 ; 1000 ; 617 ; 271 ; 5302 ; 24000
