Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
272000 ; 1000 ; 864 ; 337 ; 14526 ; 24000
1274000 ; 1000 ; 853 ; 334 ; 16359 ; 24000
332000 ; 1000 ; 820 ; 304 ; 14335 ; 24000
332000 ; 1000 ; 859 ; 284 ; 14424 ; 24000
272000 ; 1000 ; 845 ; 296 ; 14568 ; 24000
332000 ; 1000 ; 844 ; 264 ; 14271 ; 24000
1274000 ; 1000 ; 858 ; 289 ; 16333 ; 24000
332000 ; 1000 ; 872 ; 273 ; 14517 ; 24000
272000 ; 1000 ; 864 ; 303 ; 14488 ; 24000
332000 ; 1000 ; 829 ; 299 ; 14273 ; 24000
1274000 ; 1000 ; 859 ; 295 ; 16278 ; 24000
332000 ; 1000 ; 868 ; 316 ; 14477 ; 24000
272000 ; 1000 ; 867 ; 304 ; 14480 ; 24000
332000 ; 1000 ; 831 ; 310 ; 14317 ; 24000
1274000 ; 1000 ; 865 ; 326 ; 16367 ; 24000
332000 ; 1000 ; 885 ; 332 ; 14443 ; 24000
272000 ; 1000 ; 843 ; 315 ; 14356 ; 24000
332000 ; 1000 ; 841 ; 303 ; 14332 ; 24000
1274000 ; 1000 ; 859 ; 286 ; 16315 ; 24000
332000 ; 1000 ; 866 ; 305 ; 14369 ; 24000
272000 ; 1000 ; 876 ; 294 ; 14528 ; 24000
332000 ; 1000 ; 844 ; 279 ; 14248 ; 24000
1274000 ; 1000 ; 879 ; 294 ; 16376 ; 24000
332000 ; 1000 ; 875 ; 277 ; 14412 ; 24000
332000 ; 1000 ; 821 ; 309 ; 14327 ; 24000
332000 ; 1000 ; 877 ; 290 ; 14551 ; 24000
268000 ; 1000 ; 852 ; 282 ; 14454 ; 24000
268000 ; 1000 ; 828 ; 311 ; 14356 ; 24000
268000 ; 1000 ; 863 ; 294 ; 14402 ; 24000
188000 ; 1000 ; 844 ; 318 ; 13937 ; 24000
426000 ; 1000 ; 843 ; 311 ; 14528 ; 24000
426000 ; 1000 ; 882 ; 301 ; 14482 ; 24000
268000 ; 1000 ; 862 ; 312 ; 14503 ; 24000
426000 ; 1000 ; 852 ; 289 ; 14497 ; 24000
188000 ; 1000 ; 833 ; 294 ; 13906 ; 24000
426000 ; 1000 ; 893 ; 294 ; 14527 ; 24000
268000 ; 1000 ; 846 ; 318 ; 14490 ; 24000
426000 ; 1000 ; 848 ; 318 ; 14390 ; 24000
188000 ; 1000 ; 856 ; 307 ; 13935 ; 24000
426000 ; 1000 ; 873 ; 283 ; 14507 ; 24000
268000 ; 1000 ; 861 ; 309 ; 14460 ; 24000
426000 ; 1000 ; 822 ; 310 ; 14472 ; 24000
188000 ; 1000 ; 836 ; 287 ; 13969 ; 24000
426000 ; 1000 ; 878 ; 292 ; 14448 ; 24000
268000 ; 1000 ; 839 ; 331 ; 14369 ; 24000
426000 ; 1000 ; 837 ; 289 ; 14367 ; 24000
188000 ; 1000 ; 817 ; 301 ; 13875 ; 24000
426000 ; 1000 ; 875 ; 326 ; 14475 ; 24000
268000 ; 1000 ; 866 ; 312 ; 14442 ; 24000
426000 ; 1000 ; 851 ; 321 ; 14476 ; 24000
188000 ; 1000 ; 843 ; 312 ; 13942 ; 24000
426000 ; 1000 ; 875 ; 311 ; 14539 ; 24000
268000 ; 1000 ; 859 ; 313 ; 14465 ; 24000
426000 ; 1000 ; 846 ; 295 ; 14482 ; 24000
426000 ; 1000 ; 875 ; 293 ; 14513 ; 24000
188000 ; 1000 ; 849 ; 307 ; 13929 ; 24000
268000 ; 1000 ; 866 ; 335 ; 14440 ; 24000
426000 ; 1000 ; 867 ; 320 ; 14725 ; 24000
